iterations,threads,time_in_ns,matrix_size,gmacs
15,c0,1046000,336,36.26487189292543
16,c0,2499000,336,15.179294117647059
17,c0,954000,336,39.762113207547166
18,c0,4678000,336,8.108819153484395
19,c0,12085000,336,3.1388544476623914
20,c0,3957000,336,9.586316906747536
21,c0,6963000,336,5.447803532959931
22,c0,1149000,336,33.01397389033943
23,c0,2597000,336,14.606490566037737
24,c0,2866000,336,13.235539427773901
0,c0,8120000,360,5.745812807881774
1,c0,12790000,360,3.647849882720876
2,c0,1912000,360,24.401673640167363
3,c0,3184000,360,14.653266331658292
4,c0,1197000,360,38.97744360902256
5,c0,1130000,360,41.28849557522124
6,c0,1878000,360,24.843450479233226
7,c0,1125000,360,41.472
8,c0,10067000,360,4.634548524883282
9,c0,14832000,360,3.145631067961165
10,c0,5068000,360,9.205998421468035
11,c0,1195000,360,39.042677824267784
12,c0,1083000,360,43.0803324099723
13,c0,1049000,360,44.47664442326025
14,c0,5782000,360,8.069180214458665
15,c0,2552000,360,18.282131661442005
16,c0,7200000,360,6.48
17,c0,4235000,360,11.01676505312869
18,c0,2927000,360,15.939870174239836
19,c0,1847000,360,25.26042230644288
20,c0,1811000,360,25.762562120375485
21,c0,1119000,360,41.69436997319035
22,c0,1766000,360,26.41902604756512
23,c0,7436000,360,6.2743410435718125
24,c0,18652000,360,2.5013939523911644
0,c0,17142000,384,3.303179558977949
1,c0,1346000,384,42.06768499257058
2,c0,7311000,384,7.744919162905211
3,c0,1312000,384,43.15785365853659
4,c0,8547000,384,6.624909792909793
5,c0,16634000,384,3.4040581940603585
6,c0,8469000,384,6.685925611052072
7,c0,1658000,384,34.15144993968637
8,c0,1618000,384,34.995737948084056
9,c0,2514000,384,22.52311217183771
10,c0,2486000,384,22.776791633145617
11,c0,9315000,384,6.078701449275362
12,c0,14575000,384,3.884947101200686
13,c0,1276000,384,44.37547335423198
14,c0,1267000,384,44.690689818468826
15,c0,1492000,384,37.95114209115282
16,c0,1553000,384,36.460466194462334
17,c0,18716000,384,3.0253849113058346
18,c0,16595000,384,3.41205808978608
