iterations,threads,time_in_ns,matrix_size,gmacs
13,c3,6515000,552,25.8168239447429
14,c3,4243000,552,39.64096346924346
15,c3,3798000,552,44.28557345971564
16,c3,4014000,552,41.9024932735426
17,c3,3720000,552,45.21414193548387
18,c3,4081000,552,41.21455721636854
19,c3,3340000,552,50.35826586826347
20,c3,3372000,552,49.88037010676157
21,c3,8565000,552,19.63766584938704
22,c3,3342000,552,50.32812926391382
23,c3,3263000,552,51.546615997548265
24,c3,3675000,552,45.76778448979592
0,c3,3681000,576,51.9160488997555
1,c3,4664000,576,40.97405145797599
2,c3,4192000,576,45.58754198473282
3,c3,7000000,576,27.300425142857144
4,c3,3773000,576,50.6501394116088
5,c3,4468000,576,42.77148075201433
6,c3,4198000,576,45.522385898046686
7,c3,4738000,576,40.33410215280709
8,c3,4074000,576,46.9079469808542
9,c3,5288000,576,36.13898940998487
10,c3,4470000,576,42.75234362416107
11,c3,4380000,576,43.63081643835616
12,c3,4110000,576,46.49707445255474
13,c3,4360000,576,43.83095779816514
14,c3,4240000,576,45.07145660377358
15,c3,3896000,576,49.051071868583165
16,c3,3522000,576,54.25978875638842
17,c3,3742000,576,51.06974238375201
18,c3,7789000,576,24.534982154320197
19,c3,3897000,576,49.03848498845266
20,c3,4550000,576,42.000654065934064
21,c3,3652000,576,52.32830668127054
22,c3,3602000,576,53.05468517490283
23,c3,4246000,576,45.00776636834668
24,c3,4675000,576,40.87764192513369
0,c3,5235000,600,41.260744985673355
1,c3,5084000,600,42.48623131392604
2,c3,5239000,600,41.22924222179805
3,c3,4656000,600,46.391752577319586
4,c3,4172000,600,51.77372962607862
5,c3,9090000,600,23.762376237623762
6,c3,4389000,600,49.21394395078605
7,c3,4440000,600,48.648648648648646
8,c3,5411000,600,39.91868416189244
9,c3,4867000,600,44.38052188206287
10,c3,4503000,600,47.96802131912059
11,c3,4931000,600,43.80450212938552
12,c3,5966000,600,36.20516258799866
13,c3,4895000,600,44.12665985699694
14,c3,6263000,600,34.48826441002714
15,c3,4536000,600,47.61904761904762
16,c3,4906000,600,44.027721157766
17,c3,7751000,600,27.86737195200619
18,c3,5918000,600,36.49881716796215
19,c3,5771000,600,37.42852191994455
20,c3,4717000,600,45.79181683273267
21,c3,4943000,600,43.69815901274529
22,c3,4358000,600,49.56402019274897
23,c3,8829000,600,24.464831804281346
24,c3,4505000,600,47.94672586015538
0,c3,4805000,624,50.56620686784599
1,c3,4595000,624,52.8771760609358
2,c3,4554000,624,53.35323320158103
3,c3,6101000,624,39.82472119324701
4,c3,8916000,624,27.25107940780619
5,c3,5067000,624,47.95157371225577
6,c3,5414000,624,44.87820908755079
7,c3,5825000,624,41.71169510729614
8,c3,4655000,624,52.19562277121375
9,c3,14205000,624,17.10458458289335
10,c3,6677000,624,36.389190354949825
11,c3,5052000,624,48.093947743467936
12,c3,5372000,624,45.229081161578556
13,c3,10930000,624,22.229700274473924
14,c3,7138000,624,34.039033903054076
15,c3,6869000,624,35.37205182704906
16,c3,4729000,624,51.37885895538169
17,c3,4829000,624,50.31489418098985
18,c3,9691000,624,25.071780414817873
19,c3,4670000,624,52.02797087794433
20,c3,7258000,624,33.4762502066685
21,c3,4718000,624,51.49864857990674
22,c3,5335000,624,45.54275988753515
23,c3,6409000,624,37.91084787018256
24,c3,6790000,624,35.7835970544919
0,c3,6642000,648,40.966243902439025
1,c3,6755000,648,40.280946262028124
2,c3,8266000,648,32.91771013791435
3,c3,7738000,648,35.163839751873866
4,c3,6648000,648,40.92927075812274
5,c3,6513000,648,41.777643482266235
6,c3,5300000,648,51.33920603773585
7,c3,12085000,648,22.51533239553165
8,c3,5314000,648,51.20395031990967
9,c3,6282000,648,43.31387965616046
10,c3,6204000,648,43.85844487427466
11,c3,5186000,648,52.46775780948708
12,c3,10416000,648,26.1230599078341
13,c3,6184000,648,44.00028978007762
14,c3,6435000,648,42.284039160839164
15,c3,5599000,648,48.59756956599393
16,c3,7216000,648,37.70756541019956
17,c3,7443000,648,36.55754292623942
18,c3,7548000,648,36.0489920508744
19,c3,5916000,648,45.9935415821501
20,c3,5451000,648,49.91704127682994
21,c3,11561000,648,23.535835308364327
22,c3,5480000,648,49.652881751824815
23,c3,6234000,648,43.647384023099136
24,c3,5783000,648,47.051321459450115
0,c3,11701000,672,25.934915648235194
1,c3,7734000,672,39.23770985259891
2,c3,6270000,672,48.399433492822965
3,c3,6871000,672,44.16597991558725
4,c3,11100000,672,27.33913945945946
5,c3,6158000,672,49.27970899642741
6,c3,7949000,672,38.176430746005785
7,c3,6205000,672,48.90643803384368
8,c3,14202000,672,21.367726235741443
9,c3,7385000,672,41.092003791469196
10,c3,6257000,672,48.499991689307976
11,c3,6296000,672,48.19956289707751
12,c3,11026000,672,27.522623616905495
13,c3,6193000,672,49.001202648151136
14,c3,7277000,672,41.70186175621822
15,c3,6050000,672,50.15941289256198
16,c3,7540000,672,40.24727427055703
17,c3,8855000,672,34.270406324110674
18,c3,8335000,672,36.40845206958608
19,c3,7188000,672,42.21820367278798
20,c3,8171000,672,37.13920548280504
21,c3,9503000,672,31.93354182889614
22,c3,6870000,672,44.17240873362445
23,c3,6393000,672,47.468238385734395
24,c3,7240000,672,41.91497900552486
0,c3,8479000,696,39.76336077367614
1,c3,8148000,696,41.37868630338733
2,c3,7918000,696,42.580643596867894
3,c3,11481000,696,29.366216880062712
4,c3,7715000,696,43.70104160725859
5,c3,7966000,696,42.32406929450163
6,c3,6883000,696,48.98351532761877
7,c3,12571000,696,26.81994558905417
8,c3,8140000,696,41.41935331695332
9,c3,6950000,696,48.511300143884895
10,c3,8194000,696,41.14639199414206
11,c3,12788000,696,26.36483703472005
12,c3,12030000,696,28.026062842892767
13,c3,9723000,696,34.67587534711509
14,c3,10990000,696,30.678210737033666
15,c3,10439000,696,32.297493629658014
16,c3,6838000,696,49.30586955250073
17,c3,11706000,696,28.80177139928242
18,c3,6429000,696,52.44260942603827
19,c3,8370000,696,40.2811870967742
20,c3,8618000,696,39.12201624506846
21,c3,10668000,696,31.604193475815524
22,c3,8749000,696,38.53623682706595
23,c3,6832000,696,49.34917096018735
24,c3,8256000,696,40.83739534883721
0,c3,7820000,720,47.72992327365729
1,c3,9125000,720,40.9038904109589
2,c3,8202000,720,45.50694952450622
3,c3,13982000,720,26.69489343441568
4,c3,8027000,720,46.499065653419706
5,c3,7820000,720,47.72992327365729
6,c3,13662000,720,27.320158102766797
7,c3,8095000,720,46.108462013588635
8,c3,7455000,720,50.06680080482897
9,c3,7340000,720,50.851226158038145
10,c3,12313000,720,30.313327377568424
11,c3,10176000,720,36.679245283018865
12,c3,7464000,720,50.0064308681672
13,c3,12977000,720,28.762271711489557
14,c3,8347000,720,44.716425062896846
15,c3,9080000,720,41.10660792951542
16,c3,11512000,720,32.42251563585823
17,c3,8189000,720,45.57919159848577
18,c3,8795000,720,42.43865832859579
19,c3,6983000,720,53.45095231275956
20,c3,7969000,720,46.83749529426528
21,c3,7985000,720,46.74364433312461
